case_test, size, search_type,count,time,ids,right_answer
tests/66-test.txt,8,B&B DFS,21,0.096,1 2 3 ,1 2 3 
tests/66-test.txt,8,B&B BFS,45,0.37,1 2 3 ,1 2 3 
tests/67-test.txt,15,Blind Search,491520,8.016,2 6 10 11 ,2 6 10 11 
tests/67-test.txt,15,Best-Fit Search,15,0.03,2 6 11 10 ,2 6 10 11 
tests/67-test.txt,15,B&B DFS,35,0.291,2 6 10 11 ,2 6 10 11 
tests/67-test.txt,15,B&B BFS,393,3.497,2 6 10 11 ,2 6 10 11 
tests/68-test.txt,8,Blind Search,2048,0.043,2 3 5 6 ,2 3 5 6 
tests/68-test.txt,8,Best-Fit Search,8,0.014,5 6 3 2 ,2 3 5 6 
tests/68-test.txt,8,B&B DFS,9,0.045,2 3 5 6 ,2 3 5 6 
tests/68-test.txt,8,B&B BFS,31,0.231,2 3 5 6 ,2 3 5 6 
tests/69-test.txt,12,Blind Search,49152,0.632,,
tests/69-test.txt,12,Best-Fit Search,12,0.014,,
tests/69-test.txt,12,B&B DFS,25,0.069,,
tests/69-test.txt,12,B&B BFS,25,0.138,,
tests/70-test.txt,27,Blind Search,-671088640,35098.2,2 3 18 ,2 3 18 
tests/70-test.txt,27,Best-Fit Search,27,0.039,2 3 18 ,2 3 18 
tests/70-test.txt,27,B&B DFS,51,0.462,2 3 18 ,2 3 18 
tests/70-test.txt,27,B&B BFS,1075,11.662,2 3 18 ,2 3 18 
tests/71-test.txt,25,Blind Search,838860800,8211.83,10 17 23 24 ,10 17 23 24 
tests/71-test.txt,25,Best-Fit Search,25,0.037,10 17 23 24 ,10 17 23 24 
tests/71-test.txt,25,B&B DFS,51,0.542,10 17 23 24 ,10 17 23 24 
tests/71-test.txt,25,B&B BFS,2399,23.838,10 17 23 24 ,10 17 23 24 
tests/72-test.txt,12,Blind Search,49152,0.635,1 5 6 ,1 5 6 
tests/72-test.txt,12,Best-Fit Search,12,0.016,6 7 5 ,1 5 6 
tests/72-test.txt,12,B&B DFS,47,0.18,1 5 6 ,1 5 6 
tests/72-test.txt,12,B&B BFS,191,1.128,1 5 6 ,1 5 6 
tests/73-test.txt,21,Blind Search,44040192,437.032,6 20 ,6 20 
tests/73-test.txt,21,Best-Fit Search,21,0.027,20 3 ,6 20 
tests/73-test.txt,21,B&B DFS,245,1.348,6 20 ,6 20 
tests/73-test.txt,21,B&B BFS,1713,14.465,6 20 ,6 20 
tests/74-test.txt,26,Blind Search,1744830464,16966.8,11 12 13 20 23 ,11 12 13 20 23 
tests/74-test.txt,26,Best-Fit Search,26,0.039,12 13 11 23 20 ,11 12 13 20 23 
tests/74-test.txt,26,B&B DFS,63,0.569,11 12 13 20 23 ,11 12 13 20 23 
tests/74-test.txt,26,B&B BFS,32741,352.457,11 12 13 20 23 ,11 12 13 20 23 
tests/75-test.txt,17,Blind Search,2228224,24.341,2 6 7 11 13 15 ,2 6 7 11 13 15 
tests/75-test.txt,17,Best-Fit Search,17,0.023,6 15 13 2 7 11 ,2 6 7 11 13 15 
tests/75-test.txt,17,B&B DFS,81,0.464,2 6 7 11 13 15 ,2 6 7 11 13 15 
tests/75-test.txt,17,B&B BFS,2525,21.247,2 6 7 11 13 15 ,2 6 7 11 13 15 
tests/76-test.txt,25,Blind Search,838860800,8064.23,13 17 ,13 17 
tests/76-test.txt,25,Best-Fit Search,25,0.036,13 17 ,13 17 
tests/76-test.txt,25,B&B DFS,123,1.026,13 17 ,13 17 
tests/76-test.txt,25,B&B BFS,435,4.975,13 17 ,13 17 
tests/77-test.txt,13,Blind Search,106496,1.37,0 1 4 7 11 ,0 1 4 7 11 
tests/77-test.txt,13,Best-Fit Search,13,0.027,1 0 4 3 11 8 ,0 1 4 7 11 
tests/77-test.txt,13,B&B DFS,49,0.238,0 1 4 7 11 ,0 1 4 7 11 
tests/77-test.txt,13,B&B BFS,253,2.08,0 1 4 7 11 ,0 1 4 7 11 
tests/78-test.txt,22,Blind Search,92274688,928.961,5 9 14 17 ,5 9 14 17 
tests/78-test.txt,22,Best-Fit Search,22,0.031,17 9 5 14 ,5 9 14 17 
tests/78-test.txt,22,B&B DFS,39,0.31,5 9 14 17 ,5 9 14 17 
tests/78-test.txt,22,B&B BFS,4543,41.017,5 9 14 17 ,5 9 14 17 
tests/79-test.txt,27,Blind Search,-671088640,34778,1 11 12 18 22 25 ,1 11 12 18 22 25 
tests/79-test.txt,27,Best-Fit Search,27,0.04,11 22 25 18 1 12 ,1 11 12 18 22 25 
